number,rank,gainer_rank,loser_rank,name,symbol,current_price,price_change_24h,change_symbol,market_cap,volume_24h,ath,id,image,date,last_updated
131,131,1.0,,MemeCore,M,0.442527,26.31038,UP,745601899,44950200.0,0.897338,memecore,https://coin-images.coingecko.com/coins/images/53247/large/square-bg-transparent.png?1752637478,03-08-2025,2025-08-03T14:09:08.334Z
132,132,,,Mantle Restaked ETH,CMETH,3737.5,-0.6254,DOWN,733555000,6959043.0,4298.87,mantle-restaked-eth,https://coin-images.coingecko.com/coins/images/51114/large/symbol.png?1730117724,03-08-2025,2025-08-03T14:09:08.174Z
133,133,,,cgETH Hashkey Cloud,CGETH.HASHKEY,3650.23,0.40754,UP,729788258,48.68,4102.39,cgeth-hashkey-cloud,https://coin-images.coingecko.com/coins/images/54162/large/Cgeth_Hashkey.png?1738482570,03-08-2025,2025-08-03T14:09:01.497Z
134,134,,,ether.fi Staked ETH,EETH,3483.59,-0.57058,DOWN,726792969,507254.0,5307.23,ether-fi-staked-eth,https://coin-images.coingecko.com/coins/images/33049/large/ether.fi_eETH.png?1700473063,03-08-2025,2025-08-03T14:09:02.540Z
135,135,,,JasmyCoin,JASMY,0.01489909,2.22255,UP,721260187,26937168.0,4.79,jasmycoin,https://coin-images.coingecko.com/coins/images/13876/large/JASMY200x200.jpg?1696513620,03-08-2025,2025-08-03T14:09:05.624Z
136,136,,,IOTA,IOTA,0.18224,1.43459,UP,715311138,15158025.0,5.25,iota,https://coin-images.coingecko.com/coins/images/692/large/IOTA_Thumbnail_%281%29.png?1743772896,03-08-2025,2025-08-03T14:09:05.648Z
137,137,,,OUSG,OUSG,112.03,0.0,DOWN,701072269,0.0,112.03,ousg,https://coin-images.coingecko.com/coins/images/29023/large/OUSG.png?1696527993,03-08-2025,2025-08-03T14:05:15.947Z
138,138,,,GALA,GALA,0.01502049,0.74947,UP,683264731,78925879.0,0.824837,gala,https://coin-images.coingecko.com/coins/images/12493/large/GALA_token_image_-_200PNG.png?1709725869,03-08-2025,2025-08-03T14:09:03.271Z
139,139,,,Raydium,RAY,2.55,-1.35859,DOWN,682590069,48231420.0,16.83,raydium,https://coin-images.coingecko.com/coins/images/13928/large/PSigc4ie_400x400.jpg?1696513668,03-08-2025,2025-08-03T14:09:06.118Z
140,140,,,Ondo US Dollar Yield,USDY,1.086,-0.13983,DOWN,681737658,532715.0,1.26,ondo-us-dollar-yield,https://coin-images.coingecko.com/coins/images/31700/large/usdy_%281%29.png?1696530524,03-08-2025,2025-08-03T14:09:08.940Z
141,141,,,Stables Labs USDX,USDX,0.998258,-0.01806,DOWN,676294344,568272.0,1.057,usdx-money-usdx,https://coin-images.coingecko.com/coins/images/50360/large/USDX200px.png?1731906044,03-08-2025,2025-08-03T14:09:07.385Z
142,142,,,Aerodrome Finance,AERO,0.762121,-0.29099,DOWN,662162097,32429844.0,2.32,aerodrome-finance,https://coin-images.coingecko.com/coins/images/31745/large/token.png?1696530564,03-08-2025,2025-08-03T14:09:00.489Z
143,143,,,Pendle,PENDLE,3.99,0.87811,UP,661063712,89116725.0,7.5,pendle,https://coin-images.coingecko.com/coins/images/15069/large/Pendle_Logo_Normal-03.png?1696514728,03-08-2025,2025-08-03T14:09:05.237Z
144,144,,,tBTC,TBTC,113602.0,0.39719,UP,655102209,4438775.0,122930.0,tbtc,https://coin-images.coingecko.com/coins/images/11224/large/0x18084fba666a33d37592fa2633fd49a74dd93a88.png?1696511155,03-08-2025,2025-08-03T14:09:06.988Z
145,145,,,The Sandbox,SAND,0.264656,0.5273,UP,647220029,36204644.0,8.4,the-sandbox,https://coin-images.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,03-08-2025,2025-08-03T14:09:07.363Z
146,146,,,BitTorrent,BTT,6.54505e-07,-0.28351,DOWN,645409522,21234447.0,3.43e-06,bittorrent,https://coin-images.coingecko.com/coins/images/22457/large/btt_logo.png?1696521780,03-08-2025,2025-08-03T14:09:01.399Z
147,147,,,Pyth Network,PYTH,0.111781,0.97265,UP,642625260,19023952.0,1.2,pyth-network,https://coin-images.coingecko.com/coins/images/31924/large/pyth.png?1701245725,03-08-2025,2025-08-03T14:09:08.485Z
148,148,,,L2 Standard Bridged WETH (Base),WETH,3488.62,-0.54023,DOWN,629964855,642065303.0,4096.05,l2-standard-bridged-weth-base,https://coin-images.coingecko.com/coins/images/39810/large/weth.png?1724139790,03-08-2025,2025-08-03T14:09:07.691Z
149,149,,,Jito,JTO,1.68,0.34469,UP,607103974,20548449.0,6.01,jito-governance-token,https://coin-images.coingecko.com/coins/images/33228/large/jto.png?1701137022,03-08-2025,2025-08-03T14:09:05.853Z
150,150,,,Ripple USD,RLUSD,0.999399,-0.10871,DOWN,603174257,57855033.0,1.073,ripple-usd,https://coin-images.coingecko.com/coins/images/39651/large/RLUSD_200x200_%281%29.png?1727376633,03-08-2025,2025-08-03T14:09:06.265Z
151,151,,,Usual USD,USD0,0.997966,0.05821,UP,582429893,250935.0,1.33,usual-usd,https://coin-images.coingecko.com/coins/images/38272/large/USD0LOGO.png?1716962811,03-08-2025,2025-08-03T14:09:07.399Z
152,152,,,AB,AB,0.00822275,-0.94967,DOWN,582095007,47015926.0,0.01727373,newton-project,https://coin-images.coingecko.com/coins/images/4376/large/400%E6%96%B9.png?1740377493,03-08-2025,2025-08-03T14:09:09.295Z
153,153,,,Zcash,ZEC,35.86,1.42085,UP,580831021,57377338.0,3191.93,zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,03-08-2025,2025-08-03T14:09:08.196Z
154,154,,,Flow,FLOW,0.36043,0.41662,UP,576398794,15544708.0,42.4,flow,https://coin-images.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,03-08-2025,2025-08-03T14:09:02.693Z
155,155,,,USDD,USDD,0.999888,0.02362,UP,570614387,7633685.0,1.052,usdd,https://coin-images.coingecko.com/coins/images/25380/large/UUSD.jpg?1696524513,03-08-2025,2025-08-03T14:09:07.229Z
156,156,,,Avalanche Bridged BTC (Avalanche),BTC.B,113924.0,0.42447,UP,560539644,60843951.0,123072.0,bitcoin-avalanche-bridged-btc-b,https://coin-images.coingecko.com/coins/images/26115/large/btcb.png?1696525205,03-08-2025,2025-08-03T14:09:01.264Z
157,157,,,Solv Protocol Staked BTC,XSOLVBTC,112731.0,-0.21889,DOWN,551126585,309033.0,121137.0,solv-protocol-solvbtc-bbn,https://coin-images.coingecko.com/coins/images/39384/large/xSolvBTC.png?1744170824,03-08-2025,2025-08-03T14:09:06.386Z
158,158,,,Stader ETHx,ETHX,3716.79,-0.54357,DOWN,543387814,126943.0,4275.3,stader-ethx,https://coin-images.coingecko.com/coins/images/30870/large/staderx.png?1696529717,03-08-2025,2025-08-03T14:09:06.347Z
159,159,,,Morpho,MORPHO,1.67,1.01485,UP,538048589,19863219.0,4.17,morpho,https://coin-images.coingecko.com/coins/images/29837/large/Morpho-token-icon.png?1726771230,03-08-2025,2025-08-03T14:09:08.786Z
160,160,,,Walrus,WAL,0.377,-0.29683,DOWN,533237037,27129600.0,0.759179,walrus-2,https://coin-images.coingecko.com/coins/images/54914/large/WAL_logo.png?1742494301,03-08-2025,2025-08-03T14:09:08.034Z
